
   INFO  Server running on [http://127.0.0.1:8000].

  Press Ctrl+C to stop the server

  2026-05-18 21:18:09 /login ..................................... ~ 500.56ms
  2026-05-18 21:18:10 /build/assets/app-2F8C9h0l.css ............... ~ 0.04ms
  2026-05-18 21:18:10 /build/assets/app-DwndY7BJ.js ................ ~ 0.03ms
  2026-05-18 21:18:10 /build/assets/jsx-runtime-ir_6mnqC.js ........ ~ 0.09ms
  2026-05-18 21:18:10 /build/assets/dist-B7FiFQNU.js ............... ~ 0.20ms
  2026-05-18 21:18:10 /build/assets/button-BnY6FpaQ.js ............. ~ 0.34ms
  2026-05-18 21:18:10 /build/assets/utils-DJzYoSQ7.js .............. ~ 0.45ms
  2026-05-18 21:18:10 /build/assets/es2015-CF0CX6Js.js ............. ~ 0.59ms
  2026-05-18 21:18:10 /build/assets/dist-B3tsUb2-.js ............... ~ 0.74ms
  2026-05-18 21:18:10 /build/assets/createLucideIcon-CHbaUKu-.js ... ~ 0.07ms
  2026-05-18 21:18:10 /build/assets/wayfinder-BzVrPs20.js .......... ~ 0.15ms
  2026-05-18 21:18:10 /build/assets/login-DOoGFkGP.js .............. ~ 0.26ms
  2026-05-18 21:18:10 /build/assets/label-6rIVHme-.js .............. ~ 0.39ms
  2026-05-18 21:18:10 /build/assets/dist-DvBmj7np.js ............... ~ 0.52ms
  2026-05-18 21:18:10 /build/assets/check-C331ZhWE.js .............. ~ 0.07ms
  2026-05-18 21:18:10 /build/assets/password-input-Dznm1OER.js ..... ~ 0.26ms
  2026-05-18 21:18:10 /build/assets/input-error-DHxN4pRG.js ........ ~ 0.45ms
  2026-05-18 21:18:10 /build/assets/text-link-H3nicPTF.js .......... ~ 0.55ms
  2026-05-18 21:18:10 /build/assets/spinner-BndnXMwk.js ............ ~ 0.66ms
  2026-05-18 21:18:10 /build/assets/loader-circle-CyUoU6Jr.js ...... ~ 0.79ms
  2026-05-18 21:18:10 /build/assets/password-BIVXWgc3.js ........... ~ 0.04ms
  2026-05-18 21:18:10 /build/assets/confirm-CbQiIqZW.js ............ ~ 0.15ms
  2026-05-18 21:19:13 /login ....................................... ~ 0.15ms
  2026-05-18 21:19:13 /build/assets/app-2F8C9h0l.css ............... ~ 0.03ms
  2026-05-18 21:19:13 /build/assets/app-DwndY7BJ.js ................ ~ 0.08ms
  2026-05-18 21:19:13 /build/assets/dist-B7FiFQNU.js ............... ~ 0.21ms
  2026-05-18 21:19:13 /build/assets/button-BnY6FpaQ.js ............. ~ 0.42ms
  2026-05-18 21:19:13 /build/assets/jsx-runtime-ir_6mnqC.js ........ ~ 0.70ms
  2026-05-18 21:19:13 /build/assets/utils-DJzYoSQ7.js .............. ~ 0.80ms
  2026-05-18 21:19:13 /build/assets/es2015-CF0CX6Js.js ............. ~ 0.94ms
  2026-05-18 21:19:13 /build/assets/dist-B3tsUb2-.js ............... ~ 0.47ms
  2026-05-18 21:19:13 /build/assets/createLucideIcon-CHbaUKu-.js ... ~ 0.29ms
  2026-05-18 21:19:13 /build/assets/wayfinder-BzVrPs20.js .......... ~ 0.38ms
  2026-05-18 21:19:13 /build/assets/login-DOoGFkGP.js .............. ~ 0.31ms
  2026-05-18 21:19:13 /build/assets/label-6rIVHme-.js .............. ~ 0.64ms
  2026-05-18 21:19:13 /build/assets/dist-DvBmj7np.js ............... ~ 0.86ms
  2026-05-18 21:19:13 /build/assets/check-C331ZhWE.js .............. ~ 1.12ms
  2026-05-18 21:19:13 /build/assets/password-input-Dznm1OER.js ..... ~ 0.23ms
  2026-05-18 21:19:13 /build/assets/input-error-DHxN4pRG.js ........ ~ 0.31ms
  2026-05-18 21:19:13 /build/assets/text-link-H3nicPTF.js .......... ~ 0.42ms
  2026-05-18 21:19:13 /build/assets/spinner-BndnXMwk.js ............ ~ 0.53ms
  2026-05-18 21:19:13 /build/assets/loader-circle-CyUoU6Jr.js ...... ~ 0.55ms
  2026-05-18 21:19:13 /build/assets/password-BIVXWgc3.js ........... ~ 0.83ms
  2026-05-18 21:19:13 /build/assets/confirm-CbQiIqZW.js ............ ~ 0.76ms
  2026-05-18 21:19:28 /login ....................................... ~ 0.16ms
  2026-05-18 21:19:28 /build/assets/app-2F8C9h0l.css ............... ~ 0.03ms
  2026-05-18 21:19:28 /build/assets/app-DwndY7BJ.js ................ ~ 0.08ms
  2026-05-18 21:19:28 /build/assets/dist-B7FiFQNU.js ............... ~ 0.21ms
  2026-05-18 21:19:28 /build/assets/button-BnY6FpaQ.js ............. ~ 0.34ms
  2026-05-18 21:19:28 /build/assets/utils-DJzYoSQ7.js .............. ~ 0.59ms
  2026-05-18 21:19:28 /build/assets/es2015-CF0CX6Js.js ............. ~ 0.73ms
  2026-05-18 21:19:28 /build/assets/jsx-runtime-ir_6mnqC.js ........ ~ 0.89ms
  2026-05-18 21:19:28 /build/assets/dist-B3tsUb2-.js ............... ~ 0.07ms
  2026-05-18 21:19:28 /build/assets/createLucideIcon-CHbaUKu-.js ... ~ 0.20ms
  2026-05-18 21:19:28 /build/assets/wayfinder-BzVrPs20.js .......... ~ 0.27ms
  2026-05-18 21:19:28 /build/assets/login-DOoGFkGP.js .............. ~ 0.43ms
  2026-05-18 21:19:28 /build/assets/label-6rIVHme-.js .............. ~ 0.56ms
  2026-05-18 21:19:28 /build/assets/dist-DvBmj7np.js ............... ~ 0.09ms
  2026-05-18 21:19:28 /build/assets/check-C331ZhWE.js .............. ~ 0.21ms
  2026-05-18 21:19:28 /build/assets/password-input-Dznm1OER.js ..... ~ 1.28ms
  2026-05-18 21:19:28 /build/assets/input-error-DHxN4pRG.js ........ ~ 1.37ms
  2026-05-18 21:19:28 /build/assets/text-link-H3nicPTF.js .......... ~ 1.48ms
  2026-05-18 21:19:28 /build/assets/spinner-BndnXMwk.js ............ ~ 1.67ms
  2026-05-18 21:19:28 /build/assets/loader-circle-CyUoU6Jr.js ...... ~ 0.05ms
  2026-05-18 21:19:28 /build/assets/password-BIVXWgc3.js ........... ~ 0.13ms
  2026-05-18 21:19:28 /build/assets/confirm-CbQiIqZW.js ............ ~ 0.24ms
  2026-05-18 21:19:29 /login ..................................... ~ 500.58ms
  2026-05-18 21:19:29 /dashboard ................................... ~ 0.03ms
  2026-05-18 21:19:30 /build/assets/dashboard-C8F4TmVJ.js .......... ~ 0.08ms
  2026-05-18 21:20:15 /login ....................................... ~ 0.12ms
  2026-05-18 21:20:15 /build/assets/app-2F8C9h0l.css ............... ~ 0.03ms
  2026-05-18 21:20:15 /build/assets/dist-B7FiFQNU.js ............... ~ 0.08ms
  2026-05-18 21:20:15 /build/assets/app-DwndY7BJ.js ................ ~ 0.25ms
  2026-05-18 21:20:15 /build/assets/button-BnY6FpaQ.js ............. ~ 0.38ms
  2026-05-18 21:20:15 /build/assets/utils-DJzYoSQ7.js .............. ~ 0.50ms
  2026-05-18 21:20:15 /build/assets/es2015-CF0CX6Js.js ............. ~ 0.63ms
  2026-05-18 21:20:15 /build/assets/jsx-runtime-ir_6mnqC.js ........ ~ 0.81ms
  2026-05-18 21:20:15 /build/assets/dist-B3tsUb2-.js ............... ~ 0.07ms
  2026-05-18 21:20:15 /build/assets/createLucideIcon-CHbaUKu-.js ... ~ 0.23ms
  2026-05-18 21:20:15 /build/assets/wayfinder-BzVrPs20.js .......... ~ 0.30ms
  2026-05-18 21:20:15 /build/assets/login-DOoGFkGP.js .............. ~ 0.41ms
  2026-05-18 21:20:15 /build/assets/label-6rIVHme-.js .............. ~ 0.57ms
  2026-05-18 21:20:15 /build/assets/dist-DvBmj7np.js ............... ~ 0.22ms
  2026-05-18 21:20:15 /build/assets/check-C331ZhWE.js .............. ~ 0.36ms
  2026-05-18 21:20:15 /build/assets/password-input-Dznm1OER.js ..... ~ 0.42ms
  2026-05-18 21:20:15 /build/assets/input-error-DHxN4pRG.js ........ ~ 0.50ms
  2026-05-18 21:20:15 /build/assets/text-link-H3nicPTF.js .......... ~ 0.60ms
  2026-05-18 21:20:15 /build/assets/spinner-BndnXMwk.js ............ ~ 0.79ms
  2026-05-18 21:20:15 /build/assets/loader-circle-CyUoU6Jr.js ...... ~ 0.05ms
  2026-05-18 21:20:15 /build/assets/password-BIVXWgc3.js ........... ~ 0.14ms
  2026-05-18 21:20:15 /build/assets/confirm-CbQiIqZW.js ............ ~ 0.26ms
  2026-05-18 21:20:17 /login ........................................... ~ 1s
  2026-05-18 21:20:17 /dashboard ................................... ~ 0.05ms
  2026-05-18 21:20:17 /build/assets/dashboard-C8F4TmVJ.js .......... ~ 0.03ms
  2026-05-18 21:21:06 /login ....................................... ~ 0.12ms
  2026-05-18 21:21:06 /setup ....................................... ~ 0.04ms
  2026-05-18 21:21:06 /build/assets/app-2F8C9h0l.css ............... ~ 0.03ms
  2026-05-18 21:21:06 /build/assets/app-DwndY7BJ.js ................ ~ 0.08ms
  2026-05-18 21:21:06 /build/assets/dist-B7FiFQNU.js ............... ~ 0.21ms
  2026-05-18 21:21:06 /build/assets/button-BnY6FpaQ.js ............. ~ 0.49ms
  2026-05-18 21:21:06 /build/assets/jsx-runtime-ir_6mnqC.js ........ ~ 0.65ms
  2026-05-18 21:21:06 /build/assets/utils-DJzYoSQ7.js .............. ~ 0.73ms
  2026-05-18 21:21:06 /build/assets/es2015-CF0CX6Js.js ............. ~ 0.86ms
  2026-05-18 21:21:06 /build/assets/dist-B3tsUb2-.js ............... ~ 0.06ms
  2026-05-18 21:21:06 /build/assets/createLucideIcon-CHbaUKu-.js ... ~ 0.22ms
  2026-05-18 21:21:06 /build/assets/wayfinder-BzVrPs20.js .......... ~ 0.29ms
  2026-05-18 21:21:06 /build/assets/setup-D9wRgeBX.js .............. ~ 0.43ms
  2026-05-18 21:21:06 /build/assets/label-6rIVHme-.js .............. ~ 0.56ms
  2026-05-18 21:21:06 /build/assets/password-input-Dznm1OER.js ..... ~ 0.05ms
  2026-05-18 21:21:06 /build/assets/input-error-DHxN4pRG.js ........ ~ 0.12ms
  2026-05-18 21:21:06 /build/assets/spinner-BndnXMwk.js ............ ~ 0.33ms
  2026-05-18 21:21:06 /build/assets/loader-circle-CyUoU6Jr.js ...... ~ 0.45ms
